id,Name,Price,Star Rating
1,Birdsong: A Story in Pictures,54.64,3
2,The Bear and the Piano,36.89,1
3,The Secret of Dreadwillow Carse,56.13,1
4,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4
5,Little Red,13.47,3
6,Walt Disney's Alice in Wonderland,12.96,5
7,Twenty Yawns,22.08,2
8,Rain Fish,23.57,3
9,Once Was a Time,18.28,2
10,Luis Paints the World,53.95,3
11,Nap-a-Roo,25.08,1
12,The Whale,35.96,4
13,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3
14,Raymie Nightingale,34.41,2
15,Playing from the Heart,32.38,1
16,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1
17,The Wild Robot,56.07,3
18,The Thing About Jellyfish,48.77,1
19,The Lonely Ones,43.59,5
20,The Day the Crayons Came Home (Crayons),26.33,5
21,The Cat in the Hat (Beginner Books B-1),16.26,2
22,Red: The True Story of Red Riding Hood,28.54,3
23,Horrible Bear!,37.52,2
24,Green Eggs and Ham (Beginner Books B-16),10.79,4
25,Counting Thyme,10.62,1
26,Are We There Yet?,10.66,3
27,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4
28,Matilda,28.34,1
29,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3
