id,Name,Price,Star Rating
1,The Secret Garden,15.08,4
2,The Metamorphosis,28.58,1
3,The Pilgrim's Progress,50.26,2
4,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2
5,Little Women (Little Women #1),28.07,4
6,Gone with the Wind,32.49,3
7,Candide,58.63,3
8,Animal Farm,57.22,3
9,Wuthering Heights,17.73,3
10,The Picture of Dorian Gray,29.7,2
11,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4
12,Beowulf,38.35,2
13,And Then There Were None,35.01,2
14,The Story of Hong Gildong,43.19,4
15,The Little Prince,45.42,2
16,Sense and Sensibility,37.46,1
17,Of Mice and Men,47.11,2
18,Emma,32.93,2
19,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1
