id,Name,Price,Star Rating
1,Unicorn Tracks,18.78,3
2,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3
3,Princess Between Worlds (Wide-Awake Princess #5),13.34,5
4,Masks and Shadows,56.4,2
5,Crown of Midnight (Throne of Glass #2),43.29,3
6,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2
7,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1
8,Throne of Glass (Throne of Glass #1),35.07,3
9,The Glittering Court (The Glittering Court #1),44.28,1
10,Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1
11,The Star-Touched Queen,46.02,5
12,The Hidden Oracle (The Trials of Apollo #1),52.26,2
13,The Bane Chronicles (The Bane Chronicles #1-11),44.73,4
14,Island of Dragons (Unwanteds #7),29.65,1
15,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5
16,City of Glass (The Mortal Instruments #3),56.02,4
17,Searching for Meaning in Gailana,38.73,1
18,The Star-Touched Queen,32.3,5
19,A Shard of Ice (The Black Symphony Saga #1),56.63,3
20,King's Folly (The Kinsman Chronicles #1),39.61,5
21,Every Heart a Doorway (Every Heart A Doorway #1),12.16,5
22,A Gathering of Shadows (Shades of Magic #2),44.81,4
23,The Raven Boys (The Raven Cycle #1),57.74,4
24,The False Prince (The Ascendance Trilogy #1),56.0,5
25,Tell the Wind and Fire,45.51,3
26,A Feast for Crows (A Song of Ice and Fire #4),17.21,4
27,The Demonists (Demonist #1),52.11,2
28,The Beast (Black Dagger Brotherhood #14),46.08,5
29,Paper and Fire (The Great Library #2),49.45,5
30,Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4
31,Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5
32,Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1
33,The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4
34,Soldier (Talon #3),24.72,2
35,Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,2
36,Heir to the Sky,44.07,4
37,Eragon (The Inheritance Cycle #1),43.87,3
38,Darkfever (Fever #1),56.02,1
39,Ash,22.06,4
40,A Storm of Swords (A Song of Ice and Fire #3),31.22,2
41,Vampire Girl (Vampire Girl #1),53.82,2
42,The Silent Twin (Detective Jennifer Knight #3),36.25,3
43,The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,1
44,Sister Sable (The Mad Queen #1),13.33,3
45,Shadow Rites (Jane Yellowrock #10),21.72,4
46,Origins (Alphas 0.5),28.99,1
47,One Second (Seven #7),52.94,2
48,Myriad (Prentor #1),58.75,4
