id,Name,Price,Star Rating
1,Soumission,50.1,1
2,Private Paris (Private #10),47.61,5
3,"We Love You, Charlie Freeman",50.27,5
4,Thirst,17.27,5
5,The Murder That Never Was (Forensic Instincts #5),54.11,3
6,Tuesday Nights in 1980,21.04,2
7,The Vacationers,42.15,4
8,The Regional Office Is Under Attack!,51.36,5
9,Finders Keepers (Bill Hodges Trilogy #2),53.53,5
10,The Time Keeper,27.88,5
11,The Testament of Mary,52.67,4
12,The First Hostage (J.B. Collins #2),25.85,3
13,Take Me with You,45.21,3
14,Still Life with Bread Crumbs,26.41,3
15,Shtum,55.84,4
16,My Name Is Lucy Barton,41.56,1
17,My Mrs. Brown,24.48,3
18,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1
19,I Am Pilgrim (Pilgrim #1),10.6,4
20,Eligible (The Austen Project #4),27.09,3
21,Eight Hundred Grapes,14.39,4
22,Dear Mr. Knightley,11.21,5
23,Cometh the Hour (The Clifton Chronicles #6),25.01,3
24,Balloon Animals,17.03,3
25,A Man Called Ove,39.72,1
26,The Silent Sister (Riley MacPherson #1),46.29,5
27,The Dinner Party,56.54,2
28,The Improbability of Love,59.45,1
29,Mothering Sunday,13.34,2
30,Lies and Other Acts of Love,45.14,1
31,Daredevils,16.34,3
32,11/22/63,48.48,3
33,The Shack,28.03,1
34,The High Mountains of Portugal,51.15,1
35,Miller's Valley,58.54,2
36,Hystopia: A Novel,21.96,4
37,The Bourne Identity (Jason Bourne #1),42.78,4
38,Sister Dear,40.2,4
39,Memoirs of a Geisha,49.67,3
40,Me Before You (Me Before You #1),19.02,1
41,Deception Point,40.32,4
42,The Little Paris Bookshop,24.73,3
43,The Firm,45.56,3
44,The Expatriates,44.58,2
45,Siddhartha,34.22,5
46,Last One Home (New Beginnings #1),59.98,3
47,Digital Fortress,58.0,5
48,Atlas Shrugged,26.58,5
49,Three-Martini Lunch,23.21,3
50,The Nightingale,26.26,4
51,The Infinities,27.41,1
52,The Husband's Secret,52.51,5
53,The Da Vinci Code (Robert Langdon #2),22.96,2
54,The Art of Fielding,22.1,1
55,Lila (Gilead #3),12.47,3
56,Jurassic Park (Jurassic Park #1),44.97,1
57,Inferno (Robert Langdon #4),41.0,5
58,Crazy Rich Asians (Crazy Rich Asians #1),49.13,5
59,Big Little Lies,22.11,1
60,The Course of Love,16.78,3
61,When I'm Gone,51.96,3
62,The Silent Wife,12.34,5
63,The Bette Davis Club,30.66,3
64,Kitchens of the Great Midwest,57.2,5
65,Bright Lines,39.07,5
