id,Name,Price,Star Rating
1,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3
2,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1
3,My Paris Kitchen: Recipes and Stories,33.37,2
4,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4
5,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1
6,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5
7,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2
8,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1
9,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3
10,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3
11,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1
12,Barefoot Contessa Back to Basics,28.01,1
13,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5
14,My Kitchen Year: 136 Recipes That Saved My Life,11.53,2
15,Everyday Italian: 125 Simple and Delicious Recipes,20.1,5
16,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1
17,Cravings: Recipes for What You Want to Eat,20.5,3
18,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4
19,32 Yolks,53.63,2
20,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5
21,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,4
22,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,2
23,The Barefoot Contessa Cookbook,59.92,5
24,Better Homes and Gardens New Cook Book,39.61,3
25,The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5
26,Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5
27,Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,2
28,The Smitten Kitchen Cookbook,23.59,1
29,"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,3
30,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,3
