id,Name,Price,Star Rating
1,Tipping the Velvet,53.74,1
2,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
3,A Flight of Arrows (The Pathfinders #2),55.53,5
4,The House by the Lake,36.95,1
5,Mrs. Houdini,30.25,5
6,The Marriage of Opposites,28.08,4
7,Glory over Everything: Beyond The Kitchen House,45.84,3
8,"Love, Lies and Spies",20.55,2
9,A Paris Apartment,39.01,4
10,Lilac Girls,17.28,2
11,The Constant Princess (The Tudor Court #1),16.62,3
12,The Invention of Wings,37.34,1
13,World Without End (The Pillars of the Earth #2),32.97,4
14,The Passion of Dolssa,28.32,5
15,Girl With a Pearl Earring,26.77,1
16,Voyager (Outlander #3),21.07,5
17,The Red Tent,35.66,5
18,The Last Painting of Sara de Vos,55.55,2
19,The Guernsey Literary and Potato Peel Pie Society,49.53,1
20,Girl in the Blue Coat,46.83,2
21,Between Shades of Gray,20.79,5
22,While You Were Mine,41.32,5
23,The Secret Healer,34.56,3
24,Starlark,25.83,3
25,Lost Among the Living,27.7,4
26,A Spy's Devotion (The Regency Spies of London #1),16.97,5
