id,Name,Price,Star Rating
1,Sapiens: A Brief History of Humankind,54.23,5
2,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1
3,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1
4,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2
5,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1
6,Zealot: The Life and Times of Jesus of Nazareth,24.7,3
7,A Distant Mirror: The Calamitous 14th Century,14.58,3
8,1491: New Revelations of the Americas Before Columbus,21.8,3
9,Brilliant Beacons: A History of the American Lighthouse,11.45,3
10,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5
11,A Short History of Nearly Everything,52.4,5
12,The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2
13,Catherine the Great: Portrait of a Woman,58.55,4
14,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5
15,The Hiding Place,55.91,4
16,America's War for the Greater Middle East: A Military History,51.22,2
17,The Guns of August,14.54,2
18,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2
