id,Name,Price,Star Rating
1,Security,39.25,2
2,Follow You Home,21.36,1
3,The Loney,23.4,1
4,Pet Sematary,10.56,3
5,Doctor Sleep (The Shining #2),40.12,2
6,Psycho: Sanitarium (Psycho #1.5),36.97,5
7,Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1
8,Red Dragon (Hannibal Lecter #1),23.37,3
9,Dracula the Un-Dead,35.63,5
10,Night Shift (Night Shift #1-20),12.75,4
11,Needful Things,47.51,4
12,Misery,34.79,2
13,It,25.01,3
14,'Salem's Lot,49.56,4
15,The Stand,57.86,2
16,The Girl with All the Gifts,49.47,3
17,House of Leaves,54.89,1
