id,Name,Price,Star Rating
1,The Long Haul (Diary of a Wimpy Kid #9),44.07,1
2,Old School (Diary of a Wimpy Kid #10),11.83,5
3,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4
4,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5
5,Dress Your Family in Corduroy and Denim,43.68,3
6,Toddlers Are A**holes: It's Not Your Fault,25.55,1
7,When You Are Engulfed in Flames,30.89,5
8,Naked,31.69,3
9,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,5
10,Holidays on Ice,51.07,2
