id,Name,Price,Star Rating
1,Rip it Up and Start Again,35.02,5
2,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3
3,How Music Works,37.32,2
4,Love Is a Mix Tape (Music #1),18.03,1
5,Please Kill Me: The Uncensored Oral History of Punk,31.19,4
6,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5
7,"Chronicles, Vol. 1",52.6,2
8,This Is Your Brain on Music: The Science of a Human Obsession,38.4,1
9,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3
10,No One Here Gets Out Alive,20.02,5
11,Life,31.58,5
12,Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,2
13,Forever Rockers (The Rocker #12),28.8,3
