id,Name,Price,Star Rating
1,Sharp Objects,47.82,4
2,"In a Dark, Dark Wood",19.63,1
3,The Past Never Ends,56.5,4
4,A Murder in Time,16.64,1
5,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
6,The Last Mile (Amos Decker #2),54.21,2
7,That Darkness (Gardiner and Renner #1),13.92,1
8,Tastes Like Fear (DI Marnie Rome #3),10.69,1
9,A Time of Torment (Charlie Parker #14),48.35,5
10,A Study in Scarlet (Sherlock Holmes #1),16.73,2
11,Poisonous (Max Revere Novels #3),26.8,3
12,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
13,Most Wanted,35.28,3
14,Hide Away (Eve Duncan #20),11.84,1
15,Boar Island (Anna Pigeon #19),59.48,3
16,The Widow,27.26,2
17,Playing with Fire,13.71,3
18,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
19,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
20,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
21,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
22,In the Woods (Dublin Murder Squad #1),38.38,2
23,The Silkworm (Cormoran Strike #2),23.05,5
24,The Exiled,43.45,3
25,The Cuckoo's Calling (Cormoran Strike #1),19.21,1
26,Extreme Prey (Lucas Davenport #26),25.4,3
27,Career of Evil (Cormoran Strike #3),24.72,2
28,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4
29,The Girl You Lost,12.29,5
30,The Girl In The Ice (DCI Erika Foster #1),15.85,3
31,Blood Defense (Samantha Brinkman #1),20.3,3
32,1st to Die (Women's Murder Club #1),53.98,1
