id,Name,Price,Star Rating
1,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5
2,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
3,Reasons to Stay Alive,26.41,2
4,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
5,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4
6,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
7,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
8,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
9,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
10,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
11,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
12,In the Country We Love: My Family Divided,22.0,4
13,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2
14,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5
15,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1
16,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2
17,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2
18,The Genius of Birds,17.24,1
19,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5
20,So You've Been Publicly Shamed,12.23,2
21,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3
22,Big Magic: Creative Living Beyond Fear,30.8,3
23,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2
24,Agnostic: A Spirited Manifesto,12.51,5
25,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4
26,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2
27,The Year of Magical Thinking,43.04,2
28,The Literature Book (Big Ideas Simply Explained),17.43,3
29,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1
30,Swell: A Year of Waves,45.58,1
31,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2
32,Looking for Lovely: Collecting the Moments that Matter,29.14,5
33,Let It Out: A Journey Through Journaling,26.79,5
34,Hamilton: The Revolution,58.79,3
