id,Name,Price,Star Rating
1,A Light in the Attic,51.77,3
2,The Black Maria,52.15,1
3,Shakespeare's Sonnets,20.66,4
4,Olio,23.88,1
5,You can't bury them all: Poems,33.63,2
6,Slow States of Collapse: Poems,57.31,3
7,Untitled Collection: Sabbath Poems 2014,14.27,4
8,Poems That Make Grown Women Cry,14.19,4
9,Night Sky with Exit Wounds,41.05,1
10,salt.,46.78,4
11,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5
12,Out of Print: City Lights Spotlight No. 14,53.64,5
13,Les Fleurs du Mal,29.04,5
14,Howl and Other Poems,40.45,2
15,Leave This Song Behind: Teen Poetry at Its Best,51.17,5
16,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5
17,The Crossover,38.77,4
18,Booked,17.49,5
19,Twenty Love Poems and a Song of Despair,30.95,4
