id,Name,Price,Star Rating
1,Chase Me (Paris Nights #2),25.27,5
2,Black Dust,34.53,5
3,Her Backup Boyfriend (The Sorensen Family #1),33.97,1
4,First and First (Five Boroughs #3),15.97,4
5,Fifty Shades Darker (Fifty Shades #2),21.96,1
6,The Wedding Dress,24.12,1
7,Suddenly in Love (Lake Haven #1),55.99,2
8,Something More Than This,16.24,4
9,Doing It Over (Most Likely To #1),35.61,3
10,The Wedding Pact (The O'Malleys #2),32.61,3
11,Hold Your Breath (Search and Rescue #1),28.82,1
12,Dirty (Dive Bar #1),40.83,4
13,Take Me Home Tonight (Rock Star Romance #3),53.98,3
14,Off the Hook (Fishing for Trouble #1),47.67,3
15,A Gentleman's Position (Society of Gentlemen #3),14.75,5
16,"Sit, Stay, Love",20.9,3
17,A Girl's Guide to Moving On (New Beginnings #2),31.3,1
18,The Perfect Play (Play by Play #1),59.99,3
19,Dark Lover (Black Dagger Brotherhood #1),12.87,1
20,Changing the Game (Play by Play #2),13.38,3
21,A Walk to Remember,56.43,1
22,The Purest Hook (Second Circle Tattoos #3),12.25,1
23,The Obsession,45.43,1
24,Reservations for Two,11.1,3
25,Best of My Love (Fool's Gold #20),27.41,2
26,Where Lightning Strikes (Bleeding Stars #3),39.77,3
27,This One Moment (Pushing Limits #1),48.71,1
28,"Rhythm, Chord & Malykhin",28.34,2
29,My Perfect Mistake (Over the Top #1),38.92,2
30,Listen to Me (Fusion #1),58.99,3
31,Imperfect Harmony,34.74,4
32,Fighting Fate (Fighting #6),39.24,3
33,Deep Under (Walker Security #1),47.09,5
34,Charity's Cross (Charles Towne Belles #4),41.24,1
35,Bounty (Colorado Mountain #7),37.26,4
