id,Name,Price,Star Rating
1,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1
2,Join,35.67,5
3,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4
4,The Project,10.65,1
5,Soft Apocalypse,26.12,2
6,Sleeping Giants (Themis Files #1),48.74,1
7,Arena,21.36,4
8,Foundation (Foundation (Publication Order) #1),32.42,1
9,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1
10,Ready Player One,19.07,4
11,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2
12,Dune (Dune #1),54.86,1
13,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1
14,Three Wishes (River of Time: California #1),44.18,2
15,The Last Girl (The Dominion Trilogy #1),36.26,2
16,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4
