id,Name,Price,Star Rating
1,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
2,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
3,This One Summer,19.49,4
4,The Nameless City (The Nameless City #1),38.16,4
5,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2
6,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3
7,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
8,"Pop Gun War, Volume 1: Gift",18.97,1
9,Patience,10.16,3
10,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
11,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
12,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2
13,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3
14,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
15,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2
16,I am a Hero Omnibus Volume 1,54.63,3
17,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2
18,Danganronpa Volume 1,51.99,4
19,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4
20,Camp Midnight,17.08,4
21,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2
22,The Shadow Hero (The Shadow Hero),33.14,1
23,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4
24,Batman: The Long Halloween (Batman),36.5,2
25,Batman: The Dark Knight Returns (Batman),15.38,5
26,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4
27,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1
28,Through the Woods,25.38,2
29,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
30,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4
31,Robin War,47.82,3
32,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2
33,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2
34,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2
35,El Deafo,57.62,5
36,Batman: Europa,32.01,2
37,Art Ops Vol. 1,48.8,3
38,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2
39,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4
40,Roller Girl,14.1,5
41,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1
42,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4
43,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3
44,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1
45,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1
46,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2
47,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4
48,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3
49,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5
50,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5
51,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3
52,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1
53,Original Fake,31.45,3
54,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1
55,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2
56,"Black Butler, Vol. 1 (Black Butler #1)",49.31,1
57,Awkward,38.02,2
58,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1
59,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3
60,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5
61,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4
62,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2
63,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3
64,The Complete Maus (Maus #1-2),10.64,3
65,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3
66,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1
67,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5
68,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4
69,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3
70,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4
71,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3
72,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4
73,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5
74,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5
75,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4
