id,Name,Price,Star Rating
1,It's Only the Himalayas,45.17,2
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
5,Under the Tuscan Sun,37.33,3
6,A Summer In Europe,44.34,2
7,The Great Railway Bazaar,30.54,1
8,A Year in Provence (Provence #1),56.88,4
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1
10,Neither Here nor There: Travels in Europe,38.95,3
11,"1,000 Places to See Before You Die",26.08,5
