id,Name,Price,Star Rating
1,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4
2,Will You Won't You Want Me?,13.86,3
3,Keep Me Posted,20.46,4
4,Grey (Fifty Shades #4),48.49,4
5,Meternity,43.58,3
6,Some Women,13.73,5
7,Shopaholic Ties the Knot (Shopaholic #3),48.39,5
8,Can You Keep a Secret?,21.94,1
9,Twenties Girl,42.8,2
10,The Undomestic Goddess,45.75,4
11,The Nanny Diaries (Nanny #1),52.53,5
12,The Devil Wears Prada (The Devil Wears Prada #1),44.29,1
13,Something Borrowed (Darcy & Rachel #1),48.96,5
14,Something Blue (Darcy & Rachel #2),54.62,1
15,I've Got Your Number,19.69,1
16,The Edge of Reason (Bridget Jones #2),19.18,4
17,Bridget Jones's Diary (Bridget Jones #1),29.82,1
