id,Name,Price,Star Rating
1,The Requiem Red,22.65,1
2,Set Me Free,17.46,5
3,The Natural History of Us (The Fine Art of Pretending #2),45.22,3
4,Obsidian (Lux #1),14.86,2
5,Burning,28.81,3
6,A Fierce and Subtle Poison,28.13,4
7,Scarlett Epstein Hates It Here,43.55,5
8,"Nightingale, Sing",38.28,1
9,Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5
10,Frostbite (Vampire Academy #2),29.99,5
11,Wild Swans,14.36,2
12,Until Friday Night (The Field Party #1),46.31,2
13,This Is Where It Ends,27.12,2
14,The Darkest Lie,35.35,5
15,My Kind of Crazy,40.36,1
16,Don't Get Caught,55.35,1
17,Catching Jordan (Hundred Oaks),50.83,3
18,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4
19,The Epidemic (The Program 0.6),14.44,5
20,Stars Above (The Lunar Chronicles #4.5),48.05,2
21,No Love Allowed (Dodge Cove #1),54.65,4
22,"Exit, Pursued by a Bear",51.34,4
23,The Alien Club,54.4,1
24,Don't Forget Steven,33.23,1
25,South of Sunshine,28.93,1
26,My Life Next Door (My Life Next Door ),36.39,5
27,Future Shock (Future Shock #1),55.65,5
28,Nightstruck: A Novel,50.35,4
29,Tell the Wolves I'm Home,50.96,2
30,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,4
31,Where She Went (If I Stay #2),41.73,4
32,Two Summers,14.64,1
33,The Darkest Corners,11.33,5
34,Tell Me Three Things,41.81,1
35,Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,4
36,Kill the Boy Band,15.52,5
37,Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,5
38,An Abundance of Katherines,10.0,5
39,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,4
40,Walk the Edge (Thunder Road #2),32.36,3
41,Two Boys Kissing,32.74,2
42,The New Guy (and Other Senior Year Distractions),44.92,3
43,"The Land of 10,000 Madonnas",29.64,4
44,Scarlet (The Lunar Chronicles #2),14.57,4
45,Legend (Legend #1),43.69,4
46,Lady Renegades (Rebel Belle #3),53.04,5
47,Golden (Heart of Dread #3),42.21,4
48,Cinder (The Lunar Chronicles #1),26.09,1
49,Boy Meets Boy,21.12,3
50,Annie on My Mind,36.83,5
51,New Moon (Twilight #2),12.86,4
52,Girl Online On Tour (Girl Online #2),53.47,1
53,The Haters,27.89,5
54,The Art of Not Breathing,40.83,4
